sprint_number,story_id,title,priority,story_points
1,US003,Update color scheme on dashboard page,HIGH,2
1,US006,Fix broken email notifications,HIGH,3
1,US002,Add export to PDF feature for reports,HIGH,5
1,US001,Fix critical security vulnerability in login system,HIGH,8
1,US010,Add two factor authentication for admin users,HIGH,8
2,US004,Payment gateway crashes on checkout,HIGH,13
2,US011,Critical bug causing data loss in production database,HIGH,13
3,US011,Critical bug causing data loss in production database,HIGH,13
3,US009,Update help documentation links,LOW,1
3,US007,Add dark mode toggle to settings,LOW,3
3,US005,Add search filter to user management,LOW,5
3,US008,Database connection timeout under heavy load,LOW,8
